teams,round,Player,disposals,odds,home,away
gold-coast v brisbane,R20,ben ainsworth,To Get 15 or More Disposals,1.50,GCS,BRL
gold-coast v brisbane,R20,elijah hollands,To Get 15 or More Disposals,1.50,GCS,BRL
gold-coast v brisbane,R20,jack lukosius,To Get 15 or More Disposals,2.15,GCS,BRL
gold-coast v brisbane,R20,bailey humphrey,To Get 15 or More Disposals,2.25,GCS,BRL
gold-coast v brisbane,R20,nick holman,To Get 15 or More Disposals,2.25,GCS,BRL
gold-coast v brisbane,R20,jarrod witts,To Get 15 or More Disposals,2.30,GCS,BRL
gold-coast v brisbane,R20,charlie ballard,To Get 15 or More Disposals,2.35,GCS,BRL
gold-coast v brisbane,R20,sam collins,To Get 15 or More Disposals,2.45,GCS,BRL
gold-coast v brisbane,R20,mac andrew,To Get 15 or More Disposals,2.90,GCS,BRL
gold-coast v brisbane,R20,ben long,To Get 15 or More Disposals,3.90,GCS,BRL
