odds,round,teams,disposals,Player,home,away
1.08,R18,gold-coast v st-kilda,To Get 15 or More Disposals,mason wood,GCS,STK
1.09,R18,gold-coast v st-kilda,To Get 15 or More Disposals,brad hill,GCS,STK
1.09,R18,gold-coast v st-kilda,To Get 15 or More Disposals,rowan marshall,GCS,STK
1.15,R18,gold-coast v st-kilda,To Get 15 or More Disposals,callum wilkie,GCS,STK
1.15,R18,gold-coast v st-kilda,To Get 15 or More Disposals,zak jones,GCS,STK
1.30,R18,gold-coast v st-kilda,To Get 15 or More Disposals,marcus windhager,GCS,STK
1.32,R18,gold-coast v st-kilda,To Get 15 or More Disposals,jade gresham,GCS,STK
1.37,R18,gold-coast v st-kilda,To Get 15 or More Disposals,ryan byrnes,GCS,STK
1.41,R18,gold-coast v st-kilda,To Get 15 or More Disposals,jimmy webster,GCS,STK
1.42,R18,gold-coast v st-kilda,To Get 15 or More Disposals,liam stocker,GCS,STK
