teams,disposals,round,Player,odds,home,away
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,sam frost,2.30,GWS,HAW
greater-western-sydney v hawthorn,To Get 15 or More Disposals,R17,tyler brockman,2.60,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,josh kelly,SUS,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,stephen coniglio,1.08,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,lachie whitfield,1.16,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,lachie ash,1.38,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,harry himmelberg,1.47,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,finn callaghan,1.55,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,callan ward,1.76,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,isaac cumming,2.08,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,harry perryman,2.30,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,toby greene,2.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,connor idun,3.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,xavier o'halloran,3.75,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,daniel lloyd,5.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,toby bedford,5.75,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,kieren briggs,6.75,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,will day,1.12,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,jarman impey,1.16,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,james worpel,1.22,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,conor nash,1.26,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,jai newcombe,1.39,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,karl amon,1.60,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,dylan moore,1.68,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,seamus mitchell,1.69,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,blake hardwick,1.72,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,josh ward,1.73,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,jack scrimshaw,1.79,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,josh weddle,1.96,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,connor macdonald,2.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,chad wingard,3.40,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,mitch lewis,5.40,GWS,HAW
greater-western-sydney v hawthorn,To Get 20 or More Disposals,R17,sam frost,6.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,tom green,1.19,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,josh kelly,1.25,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,stephen coniglio,1.43,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,lachie whitfield,1.72,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,harry himmelberg,2.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,lachie ash,2.55,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,finn callaghan,3.10,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,callan ward,3.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,isaac cumming,6.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,toby greene,7.25,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,harry perryman,8.25,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,xavier o'halloran,11.50,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,connor idun,14.00,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,will day,1.58,GWS,HAW
greater-western-sydney v hawthorn,To Get 25 or More Disposals,R17,jarman impey,1.73,GWS,HAW
