Player,round,team,opponent,Disposals,Kicks,Handballs,Goals,Behinds,Marks,Clearances,Tackles,Contested Possessions,Uncontested Possessions,Hit Outs,Contested Marks,Marks Inside 50,Goal Assists,Frees,Frees Against,Inside 50s,Rebounds,% Played,Subs,Clangers,One Percenters,Bounces
"Oea, Hewago",R3,goldcoast,GE,10.0,5.0,5.0,0.0,0.0,2.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,69,-,1.0,2.0,0.0
"Powell, Wil",R3,goldcoast,GE,15.0,10.0,5.0,0.0,0.0,2.0,2.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,65,-,3.0,4.0,1.0
"Rosas, Malcolm",R3,goldcoast,GE,7.0,5.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,66,-,1.0,1.0,0.0
"Rowell, Matt",R3,goldcoast,GE,24.0,15.0,9.0,0.0,0.0,1.0,9.0,5.0,18.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,86,-,11.0,2.0,0.0
"Sexton, Alex",R3,goldcoast,GE,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,43,On,0.0,1.0,0.0
"Swallow, David",R3,goldcoast,GE,15.0,12.0,3.0,0.0,0.0,2.0,3.0,7.0,6.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,78,-,3.0,1.0,0.0
"Tsitas, James",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Uwland, Bodhi",R3,goldcoast,GE,,,,,,,,,,,,,,,,,,,,,,,
"Weller, Lachie",R3,goldcoast,GE,29.0,17.0,12.0,0.0,0.0,7.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,87,-,6.0,0.0,1.0
"Witts, Jarrod",R3,goldcoast,GE,13.0,6.0,7.0,0.0,0.0,1.0,4.0,3.0,7.0,7.0,35.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,82,-,2.0,4.0,0.0
"Ainsworth, Ben",R4,goldcoast,SK,18.0,11.0,7.0,1.0,1.0,8.0,0.0,4.0,7.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,89,-,4.0,0.0,0.0
"Anderson, Noah",R4,goldcoast,SK,38.0,25.0,13.0,1.0,1.0,3.0,7.0,10.0,17.0,19.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,1.0,84,-,5.0,2.0,0.0
"Andrew, Mac",R4,goldcoast,SK,12.0,7.0,5.0,0.0,0.0,4.0,1.0,3.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,76,-,2.0,3.0,0.0
"Atkins, Rory",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Ballard, Charlie",R4,goldcoast,SK,13.0,11.0,2.0,0.0,0.0,7.0,0.0,2.0,6.0,8.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,94,-,4.0,13.0,0.0
"Berry, Tom",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Casboult, Levi",R4,goldcoast,SK,13.0,8.0,5.0,1.0,0.0,3.0,2.0,2.0,8.0,5.0,11.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,83,-,4.0,5.0,0.0
"Chol, Mabior",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Collins, Sam",R4,goldcoast,SK,17.0,13.0,4.0,0.0,0.0,11.0,2.0,1.0,7.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,98,-,0.0,16.0,0.0
"Constable, Charlie",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Davies, Alex",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Day, Sam",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Ellis, Brandon",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Farrar, Jy",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Fiorini, Brayden",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Flanders, Sam",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Hollands, Elijah",R4,goldcoast,SK,15.0,10.0,5.0,0.0,0.0,2.0,0.0,1.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,89,-,7.0,0.0,0.0
"Holman, Nick",R4,goldcoast,SK,14.0,7.0,7.0,1.0,1.0,4.0,2.0,3.0,5.0,9.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,86,-,3.0,2.0,0.0
"Humphrey, Bailey",R4,goldcoast,SK,11.0,7.0,4.0,0.0,2.0,1.0,1.0,3.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,65,-,3.0,0.0,0.0
"Jeffrey, Joel",R4,goldcoast,SK,5.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,Off,0.0,2.0,0.0
"King, Ben",R4,goldcoast,SK,6.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,87,-,3.0,0.0,0.0
"Lemmens, Sean",R4,goldcoast,SK,,,,,,,,,,,,,,,,,,,,,,,
"Long, Ben",R4,goldcoast,SK,9.0,7.0,2.0,0.0,0.0,2.0,1.0,2.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,79,-,7.0,0.0,0.0
"Lukosius, Jack",R4,goldcoast,SK,11.0,6.0,5.0,0.0,1.0,3.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,74,-,0.0,4.0,0.0
"Macpherson, Darcy",R4,goldcoast,SK,25.0,18.0,7.0,0.0,0.0,4.0,0.0,2.0,9.0,16.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,99,-,7.0,1.0,0.0
"Miller, Touk",R4,goldcoast,SK,32.0,17.0,15.0,0.0,0.0,2.0,10.0,8.0,16.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,91,-,2.0,4.0,0.0
"Moyle, Ned",R4,goldcoast,SK,5.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,77,-,1.0,1.0,0.0
"Oea, Hewago",R4,goldcoast,SK,11.0,7.0,4.0,0.0,0.0,0.0,3.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,70,-,6.0,1.0,0.0
"Powell, Wil",R4,goldcoast,SK,19.0,15.0,4.0,0.0,1.0,6.0,3.0,4.0,7.0,8.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,8.0,76,-,2.0,1.0,0.0
